Fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora,
01/01/23,Buenos Aires,Mujer,19,Argentina,Si,Si,Si,No,No,No,No,No,No,No,No,No,Otro,Varon,
01/01/23,Buenos Aires,Mujer,46,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon,
01/01/23,Mendoza,Mujer,34,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon,
01/01/23,Buenos Aires,Mujer,38,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon,
01/01/23,Buenos Aires,Mujer,57,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon,
01/01/23,Santa Fe,Mujer,39,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon,
01/01/23,Mendoza,Mujer,24,Argentina,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Pareja,Varon,
01/01/23,Misiones,Mujer,22,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon,
01/01/23,Santa Fe,Mujer,65,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon,
01/01/23,San Luis,Mujer,44,Argentina,No,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon,
01/01/23,Córdoba,Mujer,44,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro,Varon,
01/01/23,Córdoba,Mujer,40,Argentina,No,Si,No,No,No,No,No,No,No,No,No,No,Otro,Varon,
01/01/23,Santa Fe,Mujer,34,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon,
01/01/23,Tucumán,Mujer,27,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon,
01/01/23,Buenos Aires,Mujer,24,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon,
01/01/23,Buenos Aires,Mujer,42,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon,
01/01/23,Misiones,Mujer,25,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon,
01/01/23,Jujuy,Mujer,49,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon,
01/01/23,Buenos Aires,Mujer,15,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon,
01/01/23,Santa Fe,Mujer,23,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon,
01/01/23,Buenos Aires,Mujer,49,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon,
